Input,Network Output
-5.0,-0.8519305805678401
-4.99,-0.8519302600365217
-4.98,-0.8519299325335582
-4.97,-0.8519295979073067
-4.96,-0.8519292560028252
-4.95,-0.8519289066618014
-4.94,-0.851928549722479
-4.93,-0.8519281850195827
-4.92,-0.8519278123842421
-4.91,-0.8519274316439127
-4.9,-0.8519270426222969
-4.89,-0.8519266451392618
-4.88,-0.8519262390107554
-4.87,-0.851925824048722
-4.86,-0.8519254000610146
-4.8500000000000005,-0.8519249668513065
-4.84,-0.8519245242189994
-4.83,-0.8519240719591314
-4.82,-0.8519236098622813
-4.8100000000000005,-0.8519231377144719
-4.8,-0.8519226552970708
-4.79,-0.8519221623866893
-4.78,-0.8519216587550785
-4.7700000000000005,-0.851921144169024
-4.76,-0.8519206183902369
-4.75,-0.851920081175245
-4.74,-0.8519195322752782
-4.73,-0.8519189714361544
-4.72,-0.8519183983981613
-4.71,-0.8519178128959359
-4.7,-0.8519172146583419
-4.69,-0.851916603408344
-4.68,-0.8519159788628786
-4.67,-0.8519153407327242
-4.66,-0.8519146887223659
-4.65,-0.8519140225298591
-4.64,-0.8519133418466899
-4.63,-0.8519126463576309
-4.62,-0.8519119357405964
-4.61,-0.8519112096664925
-4.6000000000000005,-0.851910467799064
-4.59,-0.8519097097947398
-4.58,-0.8519089353024725
-4.57,-0.8519081439635761
-4.5600000000000005,-0.8519073354115598
-4.55,-0.8519065092719577
-4.54,-0.8519056651621557
-4.53,-0.8519048026912135
-4.5200000000000005,-0.851903921459684
-4.51,-0.8519030210594275
-4.5,-0.8519021010734227
-4.49,-0.8519011610755731
-4.48,-0.85190020063051
-4.47,-0.8518992192933897
-4.46,-0.851898216609688
-4.45,-0.8518971921149889
-4.44,-0.8518961453347692
-4.43,-0.8518950757841788
-4.42,-0.8518939829678155
-4.41,-0.8518928663794949
-4.4,-0.8518917255020165
-4.39,-0.8518905598069226
-4.38,-0.851889368754254
-4.37,-0.8518881517922992
-4.36,-0.8518869083573385
-4.3500000000000005,-0.8518856378733819
-4.34,-0.8518843397519027
-4.33,-0.8518830133915638
-4.32,-0.8518816581779389
-4.3100000000000005,-0.8518802734832271
-4.3,-0.8518788586659618
-4.29,-0.8518774130707125
-4.28,-0.8518759360277816
-4.2700000000000005,-0.851874426852892
-4.26,-0.8518728848468712
-4.25,-0.8518713092953247
-4.24,-0.8518696994683063
-4.23,-0.8518680546199778
-4.22,-0.8518663739882634
-4.21,-0.8518646567944954
-4.2,-0.8518629022430529
-4.19,-0.8518611095209923
-4.18,-0.8518592777976688
-4.17,-0.8518574062243526
-4.16,-0.8518554939338323
-4.15,-0.8518535400400136
-4.14,-0.8518515436375069
-4.13,-0.8518495038012072
-4.12,-0.8518474195858634
-4.11,-0.8518452900256401
-4.1,-0.8518431141336679
-4.09,-0.8518408909015847
-4.08,-0.8518386192990676
-4.07,-0.8518362982733535
-4.0600000000000005,-0.8518339267487499
-4.05,-0.8518315036261345
-4.04,-0.8518290277824443
-4.03,-0.8518264980701532
-4.0200000000000005,-0.8518239133167386
-4.01,-0.8518212723241356
-4.0,-0.8518185738681802
-3.99,-0.8518158166980392
-3.98,-0.851812999535629
-3.97,-0.8518101210750197
-3.96,-0.851807179981829
-3.95,-0.8518041748925995
-3.94,-0.8518011044141651
-3.93,-0.8517979671230022
-3.92,-0.8517947615645666
-3.91,-0.8517914862526165
-3.9,-0.8517881396685205
-3.89,-0.85178472026055
-3.88,-0.8517812264431561
-3.87,-0.8517776565962318
-3.86,-0.8517740090643565
-3.85,-0.8517702821560242
-3.84,-0.8517664741428559
-3.83,-0.8517625832587935
-3.8200000000000003,-0.8517586076992768
-3.81,-0.8517545456204014
-3.8000000000000003,-0.8517503951380592
-3.79,-0.8517461543270598
-3.7800000000000002,-0.8517418212202319
-3.77,-0.8517373938075059
-3.7600000000000002,-0.8517328700349754
-3.75,-0.8517282478039392
-3.74,-0.8517235249699209
-3.73,-0.8517186993416679
-3.72,-0.8517137686801282
-3.71,-0.8517087306974047
-3.7,-0.8517035830556858
-3.69,-0.851698323366154
-3.68,-0.8516929491878681
-3.67,-0.8516874580266235
-3.66,-0.8516818473337853
-3.65,-0.8516761145050966
-3.64,-0.851670256879461
-3.63,-0.8516642717376959
-3.62,-0.8516581563012622
-3.61,-0.851651907730962
-3.6,-0.8516455231256107
-3.59,-0.8516389995206775
-3.58,-0.8516323338868969
-3.5700000000000003,-0.8516255231288498
-3.56,-0.8516185640835128
-3.5500000000000003,-0.8516114535187754
-3.54,-0.8516041881319243
-3.5300000000000002,-0.8515967645480946
-3.52,-0.8515891793186867
-3.5100000000000002,-0.8515814289197472
-3.5,-0.8515735097503154
-3.49,-0.8515654181307326
-3.48,-0.8515571503009128
-3.47,-0.8515487024185769
-3.46,-0.851540070557447
-3.45,-0.8515312507053991
-3.44,-0.8515222387625783
-3.43,-0.8515130305394678
-3.42,-0.8515036217549193
-3.41,-0.8514940080341358
-3.4,-0.8514841849066123
-3.39,-0.8514741478040291
-3.38,-0.8514638920580991
-3.37,-0.8514534128983668
-3.36,-0.8514427054499577
-3.35,-0.8514317647312789
-3.34,-0.8514205856516671
-3.33,-0.8514091630089843
-3.3200000000000003,-0.8513974914871609
-3.31,-0.8513855656536824
-3.3000000000000003,-0.8513733799570211
-3.29,-0.8513609287240098
-3.2800000000000002,-0.8513482061571565
-3.27,-0.8513352063318993
-3.2600000000000002,-0.8513219231938007
-3.25,-0.8513083505556768
-3.24,-0.851294482094664
-3.23,-0.8512803113492191
-3.22,-0.8512658317160525
-3.21,-0.8512510364469914
-3.2,-0.8512359186457736
-3.19,-0.8512204712647687
-3.18,-0.8512046871016253
-3.17,-0.8511885587958427
-3.16,-0.8511720788252651
-3.15,-0.8511552395024976
-3.14,-0.8511380329712399
-3.13,-0.851120451202538
-3.12,-0.8511024859909504
-3.11,-0.8510841289506286
-3.1,-0.8510653715113076
-3.09,-0.851046204914206
-3.08,-0.8510266202078332
-3.0700000000000003,-0.8510066082437008
-3.06,-0.8509861596719371
-3.0500000000000003,-0.8509652649368016
-3.04,-0.8509439142720967
-3.0300000000000002,-0.8509220976964759
-3.02,-0.8508998050086436
-3.0100000000000002,-0.850877025782447
-3.0,-0.8508537493618534
-2.99,-0.8508299648558155
-2.98,-0.8508056611330158
-2.97,-0.8507808268164929
-2.96,-0.8507554502781438
-2.95,-0.8507295196330993
-2.94,-0.8507030227339702
-2.93,-0.8506759471649613
-2.92,-0.8506482802358496
-2.91,-0.850620008975823
-2.9,-0.8505911201271772
