Input,Network Output
-5.0,-0.9322602530874559
-4.99,-0.9322539164941539
-4.98,-0.9322474919218342
-4.97,-0.9322409781434249
-4.96,-0.9322343739145862
-4.95,-0.9322276779734626
-4.94,-0.9322208890404323
-4.93,-0.9322140058178523
-4.92,-0.9322070269898003
-4.91,-0.9321999512218122
-4.9,-0.9321927771606161
-4.89,-0.9321855034338622
-4.88,-0.9321781286498485
-4.87,-0.9321706513972433
-4.86,-0.932163070244802
-4.8500000000000005,-0.9321553837410809
-4.84,-0.9321475904141465
-4.83,-0.9321396887712807
-4.82,-0.9321316772986803
-4.8100000000000005,-0.9321235544611537
-4.8,-0.9321153187018123
-4.79,-0.9321069684417567
-4.78,-0.9320985020797593
-4.7700000000000005,-0.9320899179919414
-4.76,-0.9320812145314459
-4.75,-0.9320723900281043
-4.74,-0.9320634427880994
-4.73,-0.9320543710936231
-4.72,-0.932045173202528
-4.71,-0.932035847347975
-4.7,-0.9320263917380742
-4.69,-0.932016804555522
-4.68,-0.9320070839572311
-4.67,-0.9319972280739554
-4.66,-0.9319872350099102
-4.65,-0.9319771028423852
-4.64,-0.9319668296213524
-4.63,-0.9319564133690673
-4.62,-0.9319458520796655
-4.61,-0.9319351437187511
-4.6000000000000005,-0.9319242862229807
-4.59,-0.9319132774996396
-4.58,-0.9319021154262124
-4.57,-0.9318907978499461
-4.5600000000000005,-0.931879322587408
-4.55,-0.9318676874240351
-4.54,-0.9318558901136774
-4.53,-0.9318439283781341
-4.5200000000000005,-0.9318317999066829
-4.51,-0.9318195023556007
-4.5,-0.9318070333476791
-4.49,-0.9317943904717303
-4.48,-0.931781571282086
-4.47,-0.9317685732980896
-4.46,-0.9317553940035781
-4.45,-0.9317420308463586
-4.44,-0.9317284812376747
-4.43,-0.9317147425516654
-4.42,-0.931700812124815
-4.41,-0.9316866872553953
-4.4,-0.9316723652028974
-4.39,-0.9316578431874568
-4.38,-0.9316431183892673
-4.37,-0.9316281879479864
-4.36,-0.9316130489621325
-4.3500000000000005,-0.9315976984884702
-4.34,-0.9315821335413881
-4.33,-0.9315663510922653
-4.32,-0.9315503480688279
-4.3100000000000005,-0.9315341213544966
-4.3,-0.9315176677877222
-4.29,-0.931500984161311
-4.28,-0.9314840672217402
-4.2700000000000005,-0.9314669136684612
-4.26,-0.9314495201531923
-4.25,-0.9314318832791999
-4.24,-0.9314139996005686
-4.23,-0.931395865621458
-4.22,-0.9313774777953496
-4.21,-0.9313588325242798
-4.2,-0.9313399261580609
-4.19,-0.9313207549934908
-4.18,-0.9313013152735466
-4.17,-0.9312816031865693
-4.16,-0.9312616148654312
-4.15,-0.9312413463866925
-4.14,-0.9312207937697426
-4.13,-0.9311999529759278
-4.12,-0.931178819907664
-4.11,-0.9311573904075364
-4.1,-0.9311356602573821
-4.09,-0.9311136251773595
-4.08,-0.9310912808250007
-4.07,-0.9310686227942494
-4.0600000000000005,-0.9310456466144821
-4.05,-0.931022347749513
-4.04,-0.9309987215965826
-4.03,-0.930974763485329
-4.0200000000000005,-0.9309504686767425
-4.01,-0.9309258323621014
-4.0,-0.9309008496618919
-3.99,-0.9308755156247077
-3.98,-0.9308498252261324
-3.97,-0.9308237733676019
-3.96,-0.9307973548752492
-3.95,-0.9307705644987269
-3.94,-0.9307433969100125
-3.93,-0.930715846702191
-3.92,-0.9306879083882182
-3.91,-0.9306595763996622
-3.9,-0.9306308450854226
-3.89,-0.9306017087104291
-3.88,-0.9305721614543165
-3.87,-0.9305421974100772
-3.86,-0.9305118105826903
-3.85,-0.9304809948877267
-3.84,-0.9304497441499306
-3.83,-0.9304180521017754
-3.8200000000000003,-0.9303859123819942
-3.81,-0.9303533185340861
-3.8000000000000003,-0.9303202640047948
-3.79,-0.9302867421425605
-3.7800000000000002,-0.9302527461959453
-3.77,-0.9302182693120301
-3.7600000000000002,-0.9301833045347835
-3.75,-0.9301478448034013
-3.74,-0.9301118829506173
-3.73,-0.9300754117009824
-3.72,-0.9300384236691148
-3.71,-0.9300009113579175
-3.7,-0.9299628671567645
-3.69,-0.9299242833396538
-3.68,-0.9298851520633277
-3.67,-0.9298454653653585
-3.66,-0.9298052151622
-3.65,-0.9297643932472031
-3.64,-0.9297229912885957
-3.63,-0.9296810008274257
-3.62,-0.9296384132754656
-3.61,-0.9295952199130801
-3.6,-0.9295514118870531
-3.59,-0.9295069802083755
-3.58,-0.9294619157499912
-3.5700000000000003,-0.929416209244503
-3.56,-0.9293698512818341
-3.5500000000000003,-0.9293228323068473
-3.54,-0.9292751426169192
