Input,Network Output
-5.0,-0.9367451772274473
-4.99,-0.9367380375683286
-4.98,-0.9367308014787965
-4.97,-0.9367234676490106
-4.96,-0.9367160347511387
-4.95,-0.9367085014391044
-4.94,-0.9367008663483309
-4.93,-0.9366931280954809
-4.92,-0.9366852852781927
-4.91,-0.9366773364748135
-4.9,-0.9366692802441269
-4.89,-0.936661115125078
-4.88,-0.9366528396364934
-4.87,-0.9366444522767984
-4.86,-0.9366359515237278
-4.8500000000000005,-0.9366273358340356
-4.84,-0.936618603643197
-4.83,-0.9366097533651088
-4.82,-0.9366007833917834
-4.8100000000000005,-0.9365916920930399
-4.8,-0.936582477816189
-4.79,-0.9365731388857146
-4.78,-0.93656367360295
-4.7700000000000005,-0.9365540802457494
-4.76,-0.9365443570681543
-4.75,-0.9365345023000554
-4.74,-0.9365245141468491
-4.73,-0.9365143907890889
-4.72,-0.936504130382132
-4.71,-0.9364937310557795
-4.7,-0.936483190913913
-4.69,-0.9364725080341237
-4.68,-0.9364616804673378
-4.67,-0.9364507062374348
-4.66,-0.9364395833408609
-4.65,-0.9364283097462361
-4.64,-0.9364168833939563
-4.63,-0.9364053021957877
-4.62,-0.9363935640344564
-4.61,-0.9363816667632316
-4.6000000000000005,-0.9363696082055022
-4.59,-0.9363573861543466
-4.58,-0.9363449983720972
-4.57,-0.9363324425898963
-4.5600000000000005,-0.9363197165072475
-4.55,-0.9363068177915584
-4.54,-0.9362937440776771
-4.53,-0.9362804929674214
-4.5200000000000005,-0.9362670620291013
-4.51,-0.9362534487970328
-4.5,-0.9362396507710462
-4.49,-0.9362256654159847
-4.48,-0.9362114901611972
-4.47,-0.9361971224000214
-4.46,-0.9361825594892605
-4.45,-0.9361677987486509
-4.44,-0.9361528374603212
-4.43,-0.9361376728682448
-4.42,-0.9361223021776808
-4.41,-0.9361067225546092
-4.4,-0.9360909311251556
-4.39,-0.9360749249750068
-4.38,-0.9360587011488185
-4.37,-0.9360422566496122
-4.36,-0.9360255884381632
-4.3500000000000005,-0.9360086934323799
-4.34,-0.9359915685066714
-4.33,-0.9359742104913067
-4.32,-0.9359566161717625
-4.3100000000000005,-0.9359387822880622
-4.3,-0.9359207055341027
-4.29,-0.9359023825569712
-4.28,-0.935883809956252
-4.2700000000000005,-0.9358649842833199
-4.26,-0.9358459020406251
-4.25,-0.9358265596809643
-4.24,-0.9358069536067413
-4.23,-0.9357870801692153
-4.22,-0.9357669356677375
-4.21,-0.9357465163489744
-4.2,-0.9357258184061197
-4.19,-0.9357048379780921
-4.18,-0.9356835711487219
-4.17,-0.9356620139459221
-4.16,-0.9356401623408476
-4.15,-0.93561801224704
-4.14,-0.9355955595195591
-4.13,-0.9355727999540986
-4.12,-0.9355497292860888
-4.11,-0.935526343189784
-4.1,-0.9355026372773346
-4.09,-0.9354786070978438
-4.08,-0.9354542481364091
-4.07,-0.9354295558131477
-4.0600000000000005,-0.9354045254822053
-4.05,-0.935379152430749
-4.04,-0.9353534318779427
-4.03,-0.935327358973906
-4.0200000000000005,-0.935300928798655
-4.01,-0.9352741363610256
-4.0,-0.935246976597579
-3.99,-0.935219444371488
-3.98,-0.9351915344714042
-3.97,-0.9351632416103078
-3.96,-0.935134560424336
-3.95,-0.9351054854715912
-3.94,-0.9350760112309315
-3.93,-0.9350461321007371
-3.92,-0.9350158423976577
-3.91,-0.9349851363553381
-3.9,-0.9349540081231209
-3.89,-0.9349224517647283
-3.88,-0.9348904612569197
-3.87,-0.9348580304881262
-3.86,-0.9348251532570631
-3.85,-0.9347918232713153
-3.84,-0.9347580341459005
-3.83,-0.9347237794018065
-3.8200000000000003,-0.9346890524645022
-3.81,-0.9346538466624229
-3.8000000000000003,-0.9346181552254296
-3.79,-0.9345819712832396
-3.7800000000000002,-0.9345452878638307
-3.77,-0.9345080978918168
-3.7600000000000002,-0.9344703941867933
-3.75,-0.934432169461656
-3.74,-0.9343934163208856
-3.73,-0.9343541272588062
-3.72,-0.9343142946578088
-3.71,-0.9342739107865452
-3.7,-0.9342329677980882
-3.69,-0.9341914577280582
-3.68,-0.934149372492718
-3.67,-0.9341067038870297
-3.66,-0.934063443582679
-3.65,-0.9340195831260625
-3.64,-0.9339751139362377
-3.63,-0.9339300273028359
-3.62,-0.9338843143839372
-3.61,-0.9338379662039049
-3.6,-0.9337909736511817
-3.59,-0.9337433274760436
-3.58,-0.9336950182883131
-3.5700000000000003,-0.9336460365550292
-3.56,-0.9335963725980746
-3.5500000000000003,-0.9335460165917577
-3.54,-0.9334949585603501
-3.5300000000000002,-0.9334431883755772
-3.52,-0.9333906957540619
-3.5100000000000002,-0.9333374702547201
-3.5,-0.9332835012761066
-3.49,-0.9332287780537106
-3.48,-0.9331732896572003
-3.47,-0.9331170249876143
-3.46,-0.9330599727744997
-3.45,-0.9330021215729953
-3.44,-0.9329434597608588
-3.43,-0.9328839755354363
-3.42,-0.932823656910574
-3.41,-0.9327624917134697
-3.4,-0.9327004675814635
-3.39,-0.9326375719587655
-3.38,-0.9325737920931203
-3.37,-0.9325091150324062
-3.36,-0.9324435276211671
-3.35,-0.9323770164970776
-3.34,-0.9323095680873372
-3.33,-0.9322411686049938
-3.3200000000000003,-0.9321718040451945
-3.31,-0.9321014601813623
-3.3000000000000003,-0.9320301225612959
-3.29,-0.9319577765031924
-3.2800000000000002,-0.931884407091591
-3.27,-0.9318099991732339
-3.2600000000000002,-0.9317345373528454
-3.25,-0.9316580059888255
-3.24,-0.9315803891888569
-3.23,-0.9315016708054225
-3.22,-0.9314218344312325
-3.21,-0.9313408633945586
-3.2,-0.9312587407544722
-3.19,-0.9311754492959871
-3.18,-0.9310909715251003
-3.17,-0.9310052896637331
-3.16,-0.9309183856445672
-3.15,-0.930830241105774
-3.14,-0.9307408373856354
-3.13,-0.930650155517053
-3.12,-0.9305581762219431
-3.11,-0.9304648799055149
-3.1,-0.9303702466504291
-3.09,-0.9302742562108353
-3.08,-0.9301768880062823
-3.0700000000000003,-0.9300781211155027
-3.06,-0.9299779342700647
-3.0500000000000003,-0.9298763058478908
-3.04,-0.9297732138666386
-3.0300000000000002,-0.9296686359769418
-3.02,-0.9295625494555071
-3.0100000000000002,-0.9294549311980635
-3.0,-0.9293457577121623
-2.99,-0.9292350051098206
-2.98,-0.9291226491000095
-2.97,-0.929008664980979
-2.96,-0.9288930276324177
-2.95,-0.9287757115074433
-2.94,-0.9286566906244198
-2.93,-0.9285359385585968
-2.92,-0.9284134284335669
-2.91,-0.928289132912537
-2.9,-0.9281630241894092
-2.89,-0.9280350739796657
-2.88,-0.9279052535110542
-2.87,-0.9277735335140692
-2.86,-0.9276398842122219
-2.85,-0.9275042753120967
-2.84,-0.9273666759931873
-2.83,-0.9272270548975073
-2.82,-0.9270853801189701
-2.81,-0.9269416191925328
-2.8000000000000003,-0.9267957390830973
-2.79,-0.9266477061741639
-2.7800000000000002,-0.9264974862562306
-2.77,-0.9263450445149326
-2.7600000000000002,-0.9261903455189142
-2.75,-0.9260333532074289
-2.74,-0.9258740308776586
-2.73,-0.9257123411717472
-2.72,-0.9255482460635394
-2.71,-0.9253817068450194
-2.7,-0.9252126841124423
