Input,Network Output
-5.0,-0.8906741131705957
-4.99,-0.8906723922379018
-4.98,-0.89067064107898
-4.97,-0.8906688591626575
-4.96,-0.8906670459484168
-4.95,-0.8906652008862317
-4.94,-0.8906633234163983
-4.93,-0.8906614129693662
-4.92,-0.8906594689655629
-4.91,-0.8906574908152189
-4.9,-0.8906554779181863
-4.89,-0.8906534296637566
-4.88,-0.8906513454304743
-4.87,-0.8906492245859473
-4.86,-0.8906470664866536
-4.8500000000000005,-0.8906448704777455
-4.84,-0.8906426358928493
-4.83,-0.8906403620538621
-4.82,-0.8906380482707446
-4.8100000000000005,-0.8906356938413105
-4.8,-0.8906332980510125
-4.79,-0.8906308601727233
-4.78,-0.8906283794665141
-4.7700000000000005,-0.890625855179428
-4.76,-0.8906232865452509
-4.75,-0.8906206727842761
-4.74,-0.8906180131030669
-4.73,-0.8906153066942136
-4.72,-0.8906125527360872
-4.71,-0.8906097503925872
-4.7,-0.8906068988128869
-4.69,-0.8906039971311722
-4.68,-0.8906010444663778
-4.67,-0.8905980399219164
-4.66,-0.8905949825854051
-4.65,-0.8905918715283861
-4.64,-0.8905887058060418
-4.63,-0.890585484456906
-4.62,-0.8905822065025694
-4.61,-0.8905788709473796
-4.6000000000000005,-0.8905754767781364
-4.59,-0.890572022963781
-4.58,-0.8905685084550795
-4.57,-0.8905649321843023
-4.5600000000000005,-0.8905612930648963
-4.55,-0.8905575899911504
-4.54,-0.890553821837858
-4.53,-0.890549987459971
-4.5200000000000005,-0.8905460856922479
-4.51,-0.8905421153488968
-4.5,-0.8905380752232106
-4.49,-0.8905339640871971
-4.48,-0.890529780691201
-4.47,-0.8905255237635201
-4.46,-0.890521192010015
-4.45,-0.8905167841137098
-4.44,-0.8905122987343888
-4.43,-0.8905077345081827
-4.42,-0.8905030900471499
-4.41,-0.890498363938849
-4.4,-0.8904935547459036
-4.39,-0.8904886610055602
-4.38,-0.8904836812292373
-4.37,-0.8904786139020664
-4.36,-0.8904734574824258
-4.3500000000000005,-0.8904682104014644
-4.34,-0.8904628710626187
-4.33,-0.890457437841119
-4.32,-0.8904519090834897
-4.3100000000000005,-0.8904462831070369
-4.3,-0.8904405581993302
-4.29,-0.8904347326176727
-4.28,-0.8904288045885633
-4.2700000000000005,-0.8904227723071478
-4.26,-0.8904166339366607
-4.25,-0.8904103876078572
-4.24,-0.8904040314184348
-4.23,-0.8903975634324443
-4.22,-0.8903909816796897
-4.21,-0.8903842841551185
-4.2,-0.8903774688181999
-4.19,-0.8903705335922917
-4.18,-0.8903634763639967
-4.17,-0.8903562949825066
-4.16,-0.8903489872589341
-4.15,-0.8903415509656332
-4.14,-0.8903339838355069
-4.13,-0.8903262835613027
-4.12,-0.8903184477948948
-4.11,-0.890310474146553
-4.1,-0.8903023601841996
-4.09,-0.8902941034326519
-4.08,-0.8902857013728503
-4.07,-0.8902771514410732
-4.0600000000000005,-0.8902684510281381
-4.05,-0.8902595974785863
-4.04,-0.8902505880898547
-4.03,-0.890241420111431
-4.0200000000000005,-0.8902320907439947
-4.01,-0.8902225971385406
-4.0,-0.8902129363954889
-3.99,-0.8902031055637764
-3.98,-0.890193101639932
-3.97,-0.8901829215671365
-3.96,-0.8901725622342628
-3.95,-0.8901620204749006
-3.94,-0.8901512930663613
-3.93,-0.8901403767286665
-3.92,-0.8901292681235167
-3.91,-0.8901179638532403
-3.9,-0.8901064604597254
-3.89,-0.8900947544233302
-3.88,-0.890082842161773
-3.87,-0.8900707200290039
-3.86,-0.8900583843140522
-3.85,-0.890045831239856
-3.84,-0.8900330569620678
-3.83,-0.8900200575678384
-3.8200000000000003,-0.8900068290745791
-3.81,-0.8899933674286993
-3.8000000000000003,-0.8899796685043229
-3.79,-0.8899657281019782
-3.7800000000000002,-0.8899515419472653
-3.77,-0.8899371056894985
-3.7600000000000002,-0.8899224149003215
-3.75,-0.8899074650722993
-3.74,-0.8898922516174823
-3.73,-0.8898767698659437
-3.72,-0.889861015064289
-3.71,-0.8898449823741396
-3.7,-0.8898286668705844
-3.69,-0.8898120635406062
-3.68,-0.8897951672814757
-3.67,-0.8897779728991158
-3.66,-0.8897604751064361
-3.65,-0.889742668521635
-3.64,-0.8897245476664698
-3.63,-0.8897061069644945
-3.62,-0.8896873407392634
-3.61,-0.8896682432125016
-3.6,-0.8896488085022402
-3.59,-0.8896290306209157
-3.58,-0.8896089034734345
-3.5700000000000003,-0.8895884208551985
-3.56,-0.8895675764500952
-3.5500000000000003,-0.8895463638284479
-3.54,-0.8895247764449263
-3.5300000000000002,-0.8895028076364199
-3.52,-0.8894804506198662
-3.5100000000000002,-0.8894576984900413
-3.5,-0.8894345442173056
-3.49,-0.8894109806453062
-3.48,-0.8893870004886365
-3.47,-0.8893625963304489
-3.46,-0.8893377606200219
-3.45,-0.8893124856702807
-3.44,-0.8892867636552684
-3.43,-0.8892605866075696
-3.42,-0.8892339464156823
-3.41,-0.8892068348213399
-3.4,-0.8891792434167798
-3.39,-0.8891511636419598
-3.38,-0.8891225867817185
-3.37,-0.8890935039628819
-3.36,-0.889063906151311
-3.35,-0.8890337841488937
-3.34,-0.8890031285904744
-3.33,-0.8889719299407264
-3.3200000000000003,-0.8889401784909601
-3.31,-0.8889078643558681
-3.3000000000000003,-0.8888749774702074
-3.29,-0.8888415075854134
-3.2800000000000002,-0.8888074442661484
-3.27,-0.8887727768867802
-3.2600000000000002,-0.8887374946277905
-3.25,-0.8887015864721113
-3.24,-0.8886650412013886
-3.23,-0.8886278473921698
-3.22,-0.8885899934120156
-3.21,-0.8885514674155326
-3.2,-0.8885122573403258
-3.19,-0.8884723509028696
-3.18,-0.8884317355942952
-3.17,-0.8883903986760913
-3.16,-0.8883483271757185
-3.15,-0.8883055078821336
-3.14,-0.8882619273412222
-3.13,-0.8882175718511384
-3.12,-0.8881724274575481
-3.11,-0.8881264799487754
-3.1,-0.8880797148508471
-3.09,-0.8880321174224376
-3.08,-0.8879836726497066
-3.0700000000000003,-0.8879343652410308
-3.06,-0.8878841796216267
-3.0500000000000003,-0.8878330999280599
-3.04,-0.887781110002641
-3.0300000000000002,-0.8877281933877031
-3.02,-0.8876743333197612
-3.0100000000000002,-0.887619512723546
-3.0,-0.8875637142059147
-2.99,-0.8875069200496317
-2.98,-0.887449112207018
-2.97,-0.8873902722934661
-2.96,-0.8873303815808165
-2.95,-0.887269420990594
-2.94,-0.8872073710870987
-2.93,-0.8871442120703489
-2.92,-0.8870799237688736
-2.91,-0.8870144856323485
-2.9,-0.8869478767240748
-2.89,-0.8868800757132939
-2.88,-0.8868110608673361
-2.87,-0.8867408100436001
-2.86,-0.8866693006813546
-2.85,-0.8865965097933646
-2.84,-0.8865224139573318
-2.83,-0.8864469893071484
-2.82,-0.8863702115239586
-2.81,-0.886292055827022
-2.8000000000000003,-0.886212496964376
-2.79,-0.8861315092032911
-2.7800000000000002,-0.8860490663205136
-2.77,-0.8859651415922917
-2.7600000000000002,-0.885879707784178
-2.75,-0.8857927371406045
-2.74,-0.8857042013742229
-2.73,-0.8856140716550056
-2.72,-0.8855223185991
-2.71,-0.8854289122574315
-2.7,-0.885333822104047
-2.69,-0.8852370170241943
-2.68,-0.8851384653021295
-2.67,-0.8850381346086441
-2.66,-0.8849359919883087
-2.65,-0.884832003846422
-2.64,-0.8847261359356587
-2.63,-0.8846183533424105
-2.62,-0.8845086204728085
-2.61,-0.8843969010384235
-2.6,-0.884283158041631
-2.59,-0.8841673537606355
-2.58,-0.8840494497341446
-2.57,-0.8839294067456824
-2.56,-0.8838071848075344
-2.5500000000000003,-0.8836827431443133
-2.54,-0.8835560401761359
-2.5300000000000002,-0.8834270335014008
