Input,Network Output
-5.0,-0.9207062712007036
-4.99,-0.9207016897390403
-4.98,-0.9206970401726882
-4.97,-0.9206923214866833
-4.96,-0.9206875326508592
-4.95,-0.9206826726196164
-4.94,-0.9206777403316896
-4.93,-0.9206727347099103
-4.92,-0.9206676546609657
-4.91,-0.9206624990751546
-4.9,-0.9206572668261389
-4.89,-0.9206519567706914
-4.88,-0.9206465677484401
-4.87,-0.9206410985816075
-4.86,-0.920635548074747
-4.8500000000000005,-0.9206299150144754
-4.84,-0.9206241981691995
-4.83,-0.92061839628884
-4.82,-0.920612508104551
-4.8100000000000005,-0.9206065323284345
-4.8,-0.9206004676532509
-4.79,-0.9205943127521249
-4.78,-0.9205880662782467
-4.7700000000000005,-0.9205817268645691
-4.76,-0.9205752931234984
-4.75,-0.9205687636465827
-4.74,-0.9205621370041935
-4.73,-0.9205554117452033
-4.72,-0.9205485863966572
-4.71,-0.9205416594634404
-4.7,-0.9205346294279403
-4.69,-0.920527494749703
-4.68,-0.9205202538650838
-4.67,-0.9205129051868941
-4.66,-0.9205054471040404
-4.65,-0.9204978779811597
-4.64,-0.9204901961582473
-4.63,-0.9204823999502809
-4.62,-0.9204744876468366
-4.61,-0.9204664575117002
-4.6000000000000005,-0.9204583077824717
-4.59,-0.9204500366701645
-4.58,-0.9204416423587966
-4.57,-0.9204331230049771
-4.5600000000000005,-0.9204244767374854
-4.55,-0.920415701656843
-4.54,-0.92040679583488
-4.53,-0.9203977573142934
-4.5200000000000005,-0.920388584108199
-4.51,-0.9203792741996765
-4.5,-0.9203698255413062
-4.49,-0.9203602360546996
-4.48,-0.9203505036300222
-4.47,-0.9203406261255075
-4.46,-0.9203306013669648
-4.45,-0.9203204271472788
-4.44,-0.9203101012259
-4.43,-0.9202996213283287
-4.42,-0.920288985145589
-4.41,-0.920278190333696
-4.4,-0.920267234513113
-4.39,-0.9202561152682008
-4.38,-0.9202448301466577
-4.37,-0.9202333766589511
-4.36,-0.920221752277739
-4.3500000000000005,-0.9202099544372824
-4.34,-0.9201979805328495
-4.33,-0.9201858279201078
-4.32,-0.9201734939145088
-4.3100000000000005,-0.9201609757906604
-4.3,-0.9201482707816915
-4.29,-0.9201353760786044
-4.28,-0.920122288829617
-4.2700000000000005,-0.9201090061394952
-4.26,-0.9200955250688733
-4.25,-0.9200818426335635
-4.24,-0.9200679558038547
-4.23,-0.9200538615037996
-4.22,-0.9200395566104889
-4.21,-0.9200250379533151
-4.2,-0.9200103023132244
-4.19,-0.9199953464219538
-4.18,-0.9199801669612585
-4.17,-0.919964760562125
-4.16,-0.9199491238039713
-4.15,-0.919933253213834
-4.14,-0.9199171452655421
-4.13,-0.919900796378877
-4.12,-0.9198842029187176
-4.11,-0.9198673611941729
-4.1,-0.9198502674576986
-4.09,-0.9198329179041993
-4.08,-0.9198153086701165
-4.07,-0.9197974358325001
-4.0600000000000005,-0.9197792954080644
-4.05,-0.9197608833522299
-4.04,-0.919742195558147
-4.03,-0.9197232278557033
-4.0200000000000005,-0.9197039760105159
-4.01,-0.9196844357229048
-4.0,-0.9196646026268497
-3.99,-0.9196444722889292
-3.98,-0.9196240402072415
-3.97,-0.9196033018103068
-3.96,-0.9195822524559515
-3.95,-0.9195608874301725
-3.94,-0.9195392019459829
-3.93,-0.9195171911422371
-3.92,-0.9194948500824365
-3.91,-0.9194721737535135
-3.9,-0.9194491570645965
-3.89,-0.919425794845751
-3.88,-0.9194020818467014
-3.87,-0.9193780127355283
-3.86,-0.9193535820973459
-3.85,-0.9193287844329534
-3.84,-0.9193036141574655
-3.83,-0.9192780655989171
-3.8200000000000003,-0.9192521329968448
-3.81,-0.919225810500843
-3.8000000000000003,-0.9191990921690945
-3.79,-0.9191719719668761
-3.7800000000000002,-0.9191444437650367
-3.77,-0.9191165013384492
-3.7600000000000002,-0.9190881383644354
-3.75,-0.9190593484211615
-3.74,-0.9190301249860071
-3.73,-0.9190004614339035
-3.72,-0.9189703510356435
-3.71,-0.9189397869561601
-3.7,-0.9189087622527748
-3.69,-0.9188772698734152
-3.68,-0.9188453026547987
-3.67,-0.9188128533205854
-3.66,-0.9187799144794966
-3.65,-0.9187464786233999
-3.64,-0.9187125381253585
-3.63,-0.9186780852376462
-3.62,-0.9186431120897259
-3.61,-0.9186076106861912
-3.6,-0.91857157290467
-3.59,-0.9185349904936899
-3.58,-0.9184978550705052
-3.5700000000000003,-0.9184601581188824
-3.56,-0.9184218909868462
-3.5500000000000003,-0.9183830448843832
-3.54,-0.9183436108811025
-3.5300000000000002,-0.9183035799038547
-3.52,-0.9182629427343042
-3.5100000000000002,-0.9182216900064583
-3.5,-0.9181798122041482
-3.49,-0.9181372996584651
-3.48,-0.918094142545146
-3.47,-0.9180503308819106
-3.46,-0.9180058545257498
-3.45,-0.9179607031701607
-3.44,-0.9179148663423302
-3.43,-0.9178683334002652
-3.42,-0.9178210935298672
-3.41,-0.9177731357419527
-3.4,-0.9177244488692148
-3.39,-0.9176750215631276
-3.38,-0.9176248422907908
-3.37,-0.9175738993317132
-3.36,-0.9175221807745345
-3.35,-0.9174696745136832
-3.34,-0.9174163682459701
-3.33,-0.9173622494671145
-3.3200000000000003,-0.9173073054682039
-3.31,-0.9172515233320836
-3.3000000000000003,-0.9171948899296752
-3.29,-0.917137391916224
-3.2800000000000002,-0.9170790157274713
-3.27,-0.9170197475757512
-3.2600000000000002,-0.9169595734460105
-3.25,-0.9168984790917495
-3.24,-0.9168364500308815
-3.23,-0.9167734715415107
-3.22,-0.9167095286576239
-3.21,-0.9166446061646979
-3.2,-0.9165786885952166
-3.19,-0.9165117602240996
-3.18,-0.9164438050640363
-3.17,-0.9163748068607276
-3.16,-0.916304749088029
-3.15,-0.9162336149429963
-3.14,-0.9161613873408296
-3.13,-0.9160880489097135
-3.12,-0.9160135819855513
-3.11,-0.9159379686065915
-3.1,-0.9158611905079437
-3.09,-0.9157832291159792
-3.08,-0.9157040655426183
-3.0700000000000003,-0.9156236805794963
-3.06,-0.9155420546920092
-3.0500000000000003,-0.9154591680132352
-3.04,-0.9153750003377278
-3.0300000000000002,-0.9152895311151799
-3.02,-0.9152027394439527
-3.0100000000000002,-0.9151146040644703
-3.0,-0.9150251033524724
-2.99,-0.9149342153121253
-2.98,-0.9148419175689853
-2.97,-0.9147481873628125
-2.96,-0.9146530015402318
-2.95,-0.9145563365472347
-2.94,-0.9144581684215216
-2.93,-0.9143584727846789
-2.92,-0.914257224834186
-2.91,-0.9141543993352509
-2.9,-0.9140499706124673
-2.89,-0.9139439125412908
-2.88,-0.9138361985393288
-2.87,-0.9137268015574406
-2.86,-0.9136156940706412
-2.85,-0.9135028480688065
-2.84,-0.9133882350471729
-2.83,-0.9132718259966269
-2.82,-0.9131535913937812
-2.81,-0.9130335011908282
-2.8000000000000003,-0.9129115248051698
-2.79,-0.9127876311088153
-2.7800000000000002,-0.912661788417542
-2.77,-0.9125339644798126
-2.7600000000000002,-0.9124041264654453
-2.75,-0.9122722409540269
-2.74,-0.9121382739230655
-2.73,-0.912002190735875
-2.72,-0.9118639561291851
-2.71,-0.9117235342004693
-2.7,-0.9115808883949849
-2.69,-0.9114359814925161
-2.68,-0.9112887755938157
-2.67,-0.911139232106734
-2.66,-0.9109873117320294
-2.65,-0.9108329744488534
-2.64,-0.910676179499899
-2.63,-0.9105168853762065
-2.62,-0.9103550498016167
-2.61,-0.9101906297168636
-2.6,-0.9100235812632951
-2.59,-0.9098538597662165
-2.58,-0.9096814197178427
-2.57,-0.9095062147598518
-2.56,-0.9093281976655291
-2.5500000000000003,-0.9091473203214913
-2.54,-0.9089635337089805
-2.5300000000000002,-0.9087767878847157
-2.52,-0.9085870319612923
-2.5100000000000002,-0.9083942140871164
-2.5,-0.9081982814258638
-2.49,-0.9079991801354488
-2.48,-0.9077968553464939
-2.47,-0.9075912511402844
-2.46,-0.9073823105261958
-2.45,-0.9071699754185816
-2.44,-0.9069541866131059
-2.43,-0.9067348837625073
-2.42,-0.9065120053517803
-2.41,-0.9062854886727579
-2.4,-0.9060552697980799
-2.39,-0.9058212835545341
-2.38,-0.9055834634957496
-2.37,-0.9053417418742299
-2.36,-0.9050960496127056
-2.35,-0.9048463162747925
-2.34,-0.904592470034933
-2.33,-0.9043344376476081
-2.32,-0.904072144415795
-2.31,-0.9038055141586565
-2.3000000000000003,-0.9035344691784399
-2.29,-0.9032589302265644
-2.2800000000000002,-0.9029788164688787
-2.27,-0.9026940454500663
-2.2600000000000002,-0.9024045330571767
-2.25,-0.9021101934822606
-2.24,-0.9018109391840873
-2.23,-0.9015066808489176
-2.22,-0.9011973273503144
-2.21,-0.9008827857079604
-2.2,-0.9005629610454616
-2.19,-0.9002377565471099
-2.18,-0.8999070734135795
-2.17,-0.8995708108165291
-2.16,-0.8992288658520842
-2.15,-0.8988811334931692
-2.14,-0.8985275065406647
-2.13,-0.8981678755733559
-2.12,-0.8978021288966472
-2.11,-0.897430152490009
-2.1,-0.8970518299531274
-2.09,-0.8966670424507247
-2.08,-0.8962756686560193
-2.07,-0.8958775846927901
-2.06,-0.8954726640760138
-2.05,-0.8950607776510393
-2.04,-0.8946417935312662
-2.0300000000000002,-0.8942155770342897
-2.02,-0.8937819906164772
-2.0100000000000002,-0.8933408938059402
-2.0,-0.8928921431338618
-1.99,-0.8924355920641444
-1.98,-0.8919710909213378
-1.97,-0.8914984868168084
-1.96,-0.8910176235731097
-1.95,-0.8905283416465137
-1.94,-0.8900304780476634
-1.93,-0.8895238662603023
-1.92,-0.8890083361580426
-1.9100000000000001,-0.8884837139191257
-1.9000000000000001,-0.8879498219391362
-1.8900000000000001,-0.887406478741622
-1.8800000000000001,-0.8868534988865804
-1.87,-0.8862906928767642
-1.86,-0.8857178670617639
-1.85,-0.8851348235398218
-1.84,-0.8845413600573327
-1.83,-0.8839372699059889
-1.82,-0.8833223418175183
-1.81,-0.8826963598559807
-1.8,-0.882059103307567
-1.79,-0.8814103465678641
-1.78,-0.8807498590265389
-1.77,-0.8800774049493963
-1.76,-0.8793927433577693
-1.75,-0.8786956279051981
-1.74,-0.877985806751355
-1.73,-0.8772630224331758
-1.72,-0.8765270117331552
-1.71,-0.8757775055447689
-1.7,-0.8750142287349821
-1.69,-0.8742369000038122
