Input,Network Output
-5.0,-0.9145826987165255
-4.99,-0.9145788826881772
-4.98,-0.9145750079149388
-4.97,-0.9145710734907933
-4.96,-0.9145670784956981
-4.95,-0.914563021995367
-4.94,-0.9145589030410468
-4.93,-0.9145547206692928
-4.92,-0.9145504739017385
-4.91,-0.9145461617448633
-4.9,-0.9145417831897557
-4.89,-0.914537337211873
-4.88,-0.9145328227707974
-4.87,-0.9145282388099872
-4.86,-0.9145235842565259
-4.8500000000000005,-0.914518858020865
-4.84,-0.914514058996565
-4.83,-0.914509186060031
-4.82,-0.9145042380702434
-4.8100000000000005,-0.9144992138684866
-4.8,-0.9144941122780714
-4.79,-0.9144889321040529
-4.78,-0.914483672132946
-4.7700000000000005,-0.9144783311324339
-4.76,-0.914472907851073
-4.75,-0.9144674010179938
-4.74,-0.9144618093425959
-4.73,-0.9144561315142383
-4.72,-0.9144503662019252
-4.71,-0.9144445120539867
-4.7,-0.9144385676977542
-4.69,-0.9144325317392303
-4.68,-0.9144264027627543
-4.67,-0.9144201793306611
-4.66,-0.9144138599829359
-4.65,-0.9144074432368624
-4.64,-0.914400927586666
-4.63,-0.9143943115031509
-4.62,-0.9143875934333308
-4.61,-0.9143807718000552
-4.6000000000000005,-0.9143738450016282
-4.59,-0.9143668114114223
-4.58,-0.9143596693774843
-4.57,-0.9143524172221368
-4.5600000000000005,-0.9143450532415723
-4.55,-0.9143375757054404
-4.54,-0.9143299828564289
-4.53,-0.9143222729098384
-4.5200000000000005,-0.9143144440531485
-4.51,-0.9143064944455792
-4.5,-0.9142984222176433
-4.49,-0.9142902254706924
-4.48,-0.9142819022764551
-4.47,-0.9142734506765683
-4.46,-0.9142648686821003
-4.45,-0.9142561542730665
-4.44,-0.9142473053979367
-4.43,-0.914238319973135
-4.42,-0.9142291958825307
-4.41,-0.9142199309769226
-4.4,-0.9142105230735118
-4.39,-0.9142009699553696
-4.38,-0.9141912693708932
-4.37,-0.9141814190332553
-4.36,-0.9141714166198428
-4.3500000000000005,-0.9141612597716866
-4.34,-0.914150946092883
-4.33,-0.9141404731500048
-4.32,-0.914129838471502
-4.3100000000000005,-0.9141190395470941
-4.3,-0.9141080738271519
-4.29,-0.9140969387220677
-4.28,-0.914085631601617
-4.2700000000000005,-0.9140741497943092
-4.26,-0.9140624905867263
-4.25,-0.9140506512228513
-4.24,-0.9140386289033873
-4.23,-0.9140264207850611
-4.22,-0.9140140239799199
-4.21,-0.9140014355546129
-4.2,-0.9139886525296619
-4.19,-0.9139756718787208
-4.18,-0.913962490527821
-4.17,-0.9139491053546053
-4.16,-0.9139355131875483
-4.15,-0.9139217108051645
-4.14,-0.9139076949352023
-4.13,-0.9138934622538243
-4.12,-0.9138790093847754
-4.11,-0.9138643328985343
-4.1,-0.913849429311453
-4.09,-0.9138342950848809
-4.08,-0.9138189266242731
-4.07,-0.9138033202782851
-4.0600000000000005,-0.9137874723378518
-4.05,-0.9137713790352496
-4.04,-0.9137550365431444
-4.03,-0.9137384409736216
-4.0200000000000005,-0.9137215883772013
-4.01,-0.913704474741835
-4.0,-0.9136870959918862
-3.99,-0.9136694479870937
-3.98,-0.9136515265215154
-3.97,-0.9136333273224564
-3.96,-0.9136148460493769
-3.95,-0.9135960782927818
-3.94,-0.9135770195730913
-3.93,-0.9135576653394919
-3.92,-0.9135380109687666
-3.91,-0.9135180517641073
-3.9,-0.913497782953903
-3.89,-0.9134771996905104
-3.88,-0.9134562970490007
-3.87,-0.9134350700258855
-3.86,-0.9134135135378205
-3.85,-0.9133916224202863
-3.84,-0.9133693914262455
-3.83,-0.9133468152247779
-3.8200000000000003,-0.9133238883996897
-3.81,-0.9133006054480994
-3.8000000000000003,-0.9132769607789986
-3.79,-0.9132529487117867
-3.7800000000000002,-0.9132285634747811
-3.77,-0.9132037992036989
-3.7600000000000002,-0.9131786499401134
-3.75,-0.9131531096298828
-3.74,-0.9131271721215498
-3.73,-0.9131008311647135
-3.72,-0.9130740804083729
-3.71,-0.9130469133992386
-3.7,-0.9130193235800165
-3.69,-0.9129913042876585
-3.68,-0.9129628487515836
-3.67,-0.9129339500918657
-3.66,-0.9129046013173886
-3.65,-0.9128747953239679
-3.64,-0.9128445248924388
-3.63,-0.9128137826867093
-3.62,-0.912782561251777
-3.61,-0.9127508530117104
-3.6,-0.9127186502675938
-3.59,-0.9126859451954326
-3.58,-0.9126527298440219
-3.5700000000000003,-0.9126189961327759
-3.56,-0.9125847358495152
-3.5500000000000003,-0.9125499406482153
-3.54,-0.912514602046713
-3.5300000000000002,-0.9124787114243688
-3.52,-0.9124422600196874
-3.5100000000000002,-0.9124052389278934
-3.5,-0.912367639098461
-3.49,-0.912329451332598
-3.48,-0.9122906662806829
-3.47,-0.912251274439653
-3.46,-0.9122112661503439
-3.45,-0.9121706315947777
-3.44,-0.9121293607934022
-3.43,-0.9120874436022742
-3.42,-0.9120448697101925
-3.41,-0.9120016286357743
-3.4,-0.9119577097244762
-3.39,-0.9119131021455587
-3.38,-0.9118677948889913
-3.37,-0.9118217767622996
-3.36,-0.9117750363873498
-3.35,-0.9117275621970726
-3.34,-0.9116793424321228
-3.33,-0.9116303651374738
-3.3200000000000003,-0.9115806181589471
-3.31,-0.9115300891396722
-3.3000000000000003,-0.911478765516479
-3.29,-0.9114266345162182
-3.2800000000000002,-0.9113736831520106
-3.27,-0.9113198982194206
-3.2600000000000002,-0.9112652662925568
-3.25,-0.9112097737200927
-3.24,-0.9111534066212102
-3.23,-0.9110961508814619
-3.22,-0.9110379921485507
-3.21,-0.9109789158280253
-3.2,-0.9109189070788887
-3.19,-0.91085795080912
-3.18,-0.9107960316711045
-3.17,-0.9107331340569715
-3.16,-0.9106692420938396
-3.15,-0.9106043396389629
-3.14,-0.9105384102747807
-3.13,-0.910471437303864
-3.12,-0.9104034037437615
-3.11,-0.910334292321737
-3.1,-0.910264085469401
-3.09,-0.910192765317229
-3.08,-0.9101203136889705
-3.0700000000000003,-0.910046712095938
-3.06,-0.9099719417311798
-3.0500000000000003,-0.9098959834635315
-3.04,-0.9098188178315425
-3.0300000000000002,-0.9097404250372749
-3.02,-0.9096607849399746
-3.0100000000000002,-0.9095798770496066
-3.0,-0.9094976805202558
-2.99,-0.9094141741433871
-2.98,-0.9093293363409638
-2.97,-0.9092431451584182
-2.96,-0.9091555782574743
-2.95,-0.9090666129088154
-2.94,-0.9089762259845959
-2.93,-0.9088843939507915
-2.92,-0.9087910928593849
-2.91,-0.9086962983403839
-2.9,-0.9085999855936646
-2.89,-0.9085021293806396
-2.88,-0.9084027040157439
-2.87,-0.9083016833577356
-2.86,-0.9081990408008064
-2.85,-0.9080947492654966
-2.84,-0.9079887811894114
-2.83,-0.9078811085177318
-2.82,-0.9077717026935168
-2.81,-0.9076605346477897
-2.8000000000000003,-0.9075475747894057
-2.79,-0.9074327929946925
-2.7800000000000002,-0.9073161585968612
-2.77,-0.9071976403751791
-2.7600000000000002,-0.9070772065439006
-2.75,-0.9069548247409487
-2.74,-0.906830462016342
-2.73,-0.9067040848203598
-2.72,-0.9065756589914391
-2.71,-0.9064451497437974
-2.7,-0.906312521654773
-2.69,-0.9061777386518778
-2.68,-0.9060407639995521
-2.67,-0.9059015602856182
-2.66,-0.9057600894074205
-2.65,-0.9056163125576477
-2.64,-0.905470190209828
-2.63,-0.905321682103487
-2.62,-0.9051707472289634
-2.61,-0.9050173438118706
-2.6,-0.9048614292971962
-2.59,-0.904702960333031
-2.58,-0.9045418927539165
-2.57,-0.9043781815638023
-2.56,-0.9042117809186027
-2.5500000000000003,-0.9040426441083418
-2.54,-0.9038707235388785
-2.5300000000000002,-0.9036959707131981
-2.52,-0.9035183362122599
-2.5100000000000002,-0.9033377696753913
-2.5,-0.903154219780214
-2.49,-0.902967634222092
-2.48,-0.9027779596930869
-2.47,-0.902585141860412
-2.46,-0.9023891253443663
-2.45,-0.9021898536957401
-2.44,-0.9019872693726751
-2.43,-0.9017813137169673
-2.42,-0.9015719269297956
-2.41,-0.9013590480468635
-2.4,-0.9011426149129371
-2.39,-0.9009225641557651
-2.38,-0.9006988311593623
-2.37,-0.9004713500366437
-2.36,-0.9002400536013879
-2.35,-0.9000048733395161
-2.34,-0.8997657393796674
-2.33,-0.8995225804630508
-2.32,-0.8992753239125575
-2.31,-0.8990238956011125
-2.3000000000000003,-0.8987682199192468
-2.29,-0.8985082197418683
-2.2800000000000002,-0.8982438163942129
-2.27,-0.8979749296169525
-2.2600000000000002,-0.8977014775304388
-2.25,-0.8974233765980614
-2.24,-0.8971405415886947
-2.23,-0.8968528855382132
-2.22,-0.8965603197100485
-2.21,-0.8962627535547651
-2.2,-0.8959600946686285
-2.19,-0.8956522487511394
-2.18,-0.89533911956151
-2.17,-0.8950206088740515
-2.16,-0.8946966164324479
-2.15,-0.8943670399028855
-2.14,-0.8940317748260111
-2.13,-0.8936907145676881
-2.12,-0.8933437502685178
-2.11,-0.8929907707920994
-2.1,-0.8926316626719926
-2.09,-0.8922663100573524
