Input,Network Output
-5.0,-0.9431170593654508
-4.99,-0.9431086649506629
-4.98,-0.943100161634837
-4.97,-0.9430915479940628
-4.96,-0.9430828225855254
-4.95,-0.9430739839472464
-4.94,-0.943065030597822
-4.93,-0.9430559610361572
-4.92,-0.943046773741196
-4.91,-0.9430374671716482
-4.9,-0.9430280397657114
-4.89,-0.9430184899407896
-4.88,-0.943008816093208
-4.87,-0.9429990165979226
-4.86,-0.9429890898082268
-4.8500000000000005,-0.9429790340554526
-4.84,-0.9429688476486685
-4.83,-0.9429585288743721
-4.82,-0.942948075996179
-4.8100000000000005,-0.9429374872545065
-4.8,-0.942926760866253
-4.79,-0.9429158950244724
-4.78,-0.9429048878980443
-4.7700000000000005,-0.9428937376313388
-4.76,-0.9428824423438765
-4.75,-0.9428710001299839
-4.74,-0.9428594090584428
-4.73,-0.9428476671721353
-4.72,-0.9428357724876835
-4.71,-0.9428237229950834
-4.7,-0.9428115166573339
-4.69,-0.9427991514100594
-4.68,-0.9427866251611283
-4.67,-0.9427739357902639
-4.66,-0.9427610811486515
-4.65,-0.9427480590585375
-4.64,-0.9427348673128244
-4.63,-0.9427215036746588
-4.62,-0.9427079658770126
-4.61,-0.9426942516222595
-4.6000000000000005,-0.9426803585817439
-4.59,-0.9426662843953433
-4.58,-0.9426520266710244
-4.57,-0.9426375829843932
-4.5600000000000005,-0.9426229508782363
-4.55,-0.9426081278620577
-4.54,-0.942593111411606
-4.53,-0.9425778989683965
-4.5200000000000005,-0.9425624879392253
-4.51,-0.9425468756956749
-4.5,-0.942531059573614
-4.49,-0.9425150368726887
-4.48,-0.9424988048558048
-4.47,-0.9424823607486053
-4.46,-0.9424657017389352
-4.45,-0.942448824976303
-4.44,-0.9424317275713299
-4.43,-0.9424144065951923
-4.42,-0.9423968590790558
-4.41,-0.9423790820134993
-4.4,-0.942361072347931
-4.39,-0.9423428269899949
-4.38,-0.9423243428049681
-4.37,-0.9423056166151483
-4.36,-0.9422866451992327
-4.3500000000000005,-0.9422674252916854
-4.34,-0.9422479535820965
-4.33,-0.9422282267145302
-4.32,-0.9422082412868626
-4.3100000000000005,-0.942187993850109
-4.3,-0.942167480907741
-4.29,-0.942146698914992
-4.28,-0.942125644278152
-4.2700000000000005,-0.9421043133538508
-4.26,-0.9420827024483306
-4.25,-0.9420608078167054
-4.24,-0.94203862566221
-4.23,-0.9420161521354359
-4.22,-0.9419933833335551
-4.21,-0.9419703152995317
-4.2,-0.9419469440213201
-4.19,-0.9419232654310504
-4.18,-0.9418992754042012
-4.17,-0.9418749697587571
-4.16,-0.9418503442543547
-4.15,-0.9418253945914127
-4.14,-0.9418001164102492
-4.13,-0.941774505290183
-4.12,-0.9417485567486211
-4.11,-0.9417222662401309
-4.1,-0.9416956291554968
-4.09,-0.941668640820761
-4.08,-0.9416412964962494
-4.07,-0.9416135913755794
-4.0600000000000005,-0.9415855205846531
-4.05,-0.9415570791806314
-4.04,-0.9415282621508937
-4.03,-0.9414990644119774
-4.0200000000000005,-0.941469480808501
-4.01,-0.9414395061120687
-4.0,-0.9414091350201562
-3.99,-0.9413783621549778
-3.98,-0.9413471820623346
-3.97,-0.9413155892104415
-3.96,-0.9412835779887364
-3.95,-0.9412511427066678
-3.94,-0.9412182775924605
-3.93,-0.9411849767918624
-3.92,-0.9411512343668682
-3.91,-0.9411170442944206
-3.9,-0.9410824004650906
-3.89,-0.9410472966817334
-3.88,-0.9410117266581213
-3.87,-0.9409756840175536
-3.86,-0.9409391622914407
-3.85,-0.9409021549178646
-3.84,-0.940864655240113
-3.83,-0.9408266565051893
-3.8200000000000003,-0.9407881518622938
-3.81,-0.9407491343612808
-3.8000000000000003,-0.9407095969510857
-3.79,-0.9406695324781259
-3.7800000000000002,-0.9406289336846726
-3.77,-0.9405877932071938
-3.7600000000000002,-0.9405461035746664
-3.75,-0.94050385720686
-3.74,-0.9404610464125884
-3.73,-0.9404176633879293
-3.72,-0.940373700214413
-3.71,-0.940329148857178
-3.7,-0.9402840011630914
-3.69,-0.9402382488588378
-3.68,-0.9401918835489711
-3.67,-0.9401448967139316
-3.66,-0.9400972797080267
-3.65,-0.9400490237573738
-3.64,-0.9400001199578062
-3.63,-0.9399505592727397
-3.62,-0.939900332531
-3.61,-0.939849430424609
-3.6,-0.939797843506531
-3.59,-0.9397455621883758
-3.58,-0.93969257673806
-3.5700000000000003,-0.9396388772774225
-3.56,-0.9395844537797979
-3.5500000000000003,-0.9395292960675414
-3.54,-0.9394733938095087
-3.5300000000000002,-0.9394167365184877
-3.52,-0.9393593135485809
-3.5100000000000002,-0.9393011140925395
-3.5,-0.9392421271790441
-3.49,-0.9391823416699363
-3.48,-0.9391217462573948
-3.47,-0.939060329461059
-3.46,-0.9389980796250956
-3.45,-0.9389349849152102
-3.44,-0.9388710333155996
-3.43,-0.9388062126258458
-3.42,-0.9387405104577494
-3.41,-0.9386739142321008
-3.4,-0.9386064111753891
-3.39,-0.9385379883164461
-3.38,-0.9384686324830236
-3.37,-0.9383983302983052
-3.36,-0.9383270681773471
-3.35,-0.9382548323234501
-3.34,-0.9381816087244585
-3.33,-0.9381073831489867
