Input,Network Output
-5.0,-0.9877212890817142
-4.99,-0.9876890321177065
-4.98,-0.9876564983573838
-4.97,-0.9876236850198593
-4.96,-0.9875905892912866
-4.95,-0.9875572083244091
-4.94,-0.9875235392381022
-4.93,-0.9874895791169099
-4.92,-0.9874553250105723
-4.91,-0.9874207739335472
-4.9,-0.9873859228645244
-4.89,-0.9873507687459318
-4.88,-0.987315308483434
-4.87,-0.9872795389454242
-4.86,-0.9872434569625066
-4.8500000000000005,-0.9872070593269728
-4.84,-0.9871703427922679
-4.83,-0.9871333040724501
-4.82,-0.9870959398416412
-4.8100000000000005,-0.9870582467334686
-4.8,-0.9870202213404984
-4.79,-0.9869818602136604
-4.78,-0.9869431598616634
-4.7700000000000005,-0.9869041167504017
-4.76,-0.9868647273023524
-4.75,-0.9868249878959628
-4.74,-0.9867848948650295
-4.73,-0.9867444444980653
-4.72,-0.9867036330376594
-4.71,-0.9866624566798243
-4.7,-0.9866209115733353
-4.69,-0.9865789938190571
-4.68,-0.9865366994692617
-4.67,-0.9864940245269342
-4.66,-0.986450964945069
-4.65,-0.9864075166259527
-4.64,-0.9863636754204381
-4.63,-0.9863194371272052
-4.62,-0.9862747974920101
-4.61,-0.9862297522069238
-4.6000000000000005,-0.9861842969095567
-4.59,-0.9861384271822722
-4.58,-0.9860921385513869
-4.57,-0.9860454264863587
-4.5600000000000005,-0.9859982863989618
-4.55,-0.985950713642447
-4.54,-0.9859027035106914
-4.53,-0.9858542512373315
-4.5200000000000005,-0.9858053519948844
-4.51,-0.9857560008938535
-4.5,-0.9857061929818213
-4.49,-0.985655923242525
-4.48,-0.9856051865949209
-4.47,-0.9855539778922294
-4.46,-0.9855022919209684
-4.45,-0.9854501233999681
-4.44,-0.9853974669793714
-4.43,-0.9853443172396179
-4.42,-0.9852906686904107
-4.41,-0.985236515769667
-4.4,-0.9851818528424509
-4.39,-0.9851266741998898
-4.38,-0.9850709740580721
-4.37,-0.9850147465569274
-4.36,-0.9849579857590884
-4.3500000000000005,-0.9849006856487332
-4.34,-0.9848428401304101
