Input,Network Output
-5.0,-0.9597590102372399
-4.99,-0.9597466764602977
-4.98,-0.9597341999668466
-4.97,-0.9597215790741296
-4.96,-0.9597088120788396
-4.95,-0.9596958972568524
-4.94,-0.9596828328629572
-4.93,-0.9596696171305807
-4.92,-0.9596562482715099
-4.91,-0.9596427244756094
-4.9,-0.9596290439105346
-4.89,-0.9596152047214419
-4.88,-0.9596012050306935
-4.87,-0.9595870429375581
-4.86,-0.9595727165179087
-4.8500000000000005,-0.9595582238239132
-4.84,-0.9595435628837241
-4.83,-0.9595287317011605
-4.82,-0.9595137282553868
-4.8100000000000005,-0.9594985505005873
-4.8,-0.959483196365635
-4.79,-0.9594676637537555
-4.78,-0.9594519505421875
-4.7700000000000005,-0.9594360545818357
-4.76,-0.9594199736969213
-4.75,-0.9594037056846256
-4.74,-0.9593872483147285
-4.73,-0.9593705993292425
-4.72,-0.95935375644204
-4.71,-0.9593367173384765
-4.7,-0.9593194796750066
-4.69,-0.959302041078796
-4.68,-0.9592843991473256
-4.67,-0.9592665514479914
-4.66,-0.959248495517698
-4.65,-0.9592302288624449
-4.64,-0.9592117489569083
-4.63,-0.9591930532440146
-4.62,-0.9591741391345094
-4.61,-0.9591550040065183
-4.6000000000000005,-0.9591356452051019
-4.59,-0.9591160600418036
-4.58,-0.9590962457941911
-4.57,-0.9590761997053899
-4.5600000000000005,-0.9590559189836102
-4.55,-0.9590354008016669
-4.54,-0.9590146422964911
-4.53,-0.9589936405686352
-4.5200000000000005,-0.958972392681769
-4.51,-0.9589508956621698
-4.5,-0.9589291464982027
-4.49,-0.958907142139794
-4.48,-0.9588848794978955
-4.47,-0.9588623554439413
-4.46,-0.9588395668092956
-4.45,-0.9588165103846914
-4.44,-0.9587931829196611
-4.43,-0.9587695811219578
-4.42,-0.9587457016569667
-4.41,-0.9587215411471091
-4.4,-0.958697096171234
-4.39,-0.9586723632640031
-4.38,-0.9586473389152634
-4.37,-0.9586220195694116
-4.36,-0.958596401624747
-4.3500000000000005,-0.9585704814328146
-4.34,-0.9585442552977375
-4.33,-0.9585177194755385
-4.32,-0.9584908701734509
-4.3100000000000005,-0.9584637035492175
-4.3,-0.9584362157103788
-4.29,-0.9584084027135495
-4.28,-0.9583802605636825
-4.2700000000000005,-0.9583517852133223
-4.26,-0.958322972561844
-4.25,-0.9582938184546818
-4.24,-0.9582643186825439
-4.23,-0.958234468980614
-4.22,-0.9582042650277405
-4.21,-0.9581737024456112
-4.2,-0.958142776797915
-4.19,-0.9581114835894899
-4.18,-0.9580798182654555
-4.17,-0.9580477762103317
-4.16,-0.9580153527471432
-4.15,-0.9579825431365077
-4.14,-0.9579493425757095
-4.13,-0.9579157461977573
-4.12,-0.9578817490704258
-4.11,-0.9578473461952811
-4.1,-0.9578125325066895
-4.09,-0.9577773028708096
-4.08,-0.9577416520845669
-4.07,-0.9577055748746104
-4.0600000000000005,-0.9576690658962522
-4.05,-0.9576321197323885
-4.04,-0.9575947308924009
-4.03,-0.9575568938110404
-4.0200000000000005,-0.9575186028472908
-4.01,-0.9574798522832131
-4.0,-0.9574406363227684
-3.99,-0.9574009490906225
-3.98,-0.9573607846309271
-3.97,-0.9573201369060815
-3.96,-0.9572789997954714
-3.95,-0.957237367094186
-3.94,-0.9571952325117121
-3.93,-0.9571525896706052
-3.92,-0.9571094321051371
-3.91,-0.9570657532599192
-3.9,-0.9570215464885015
-3.89,-0.9569768050519462
-3.88,-0.9569315221173762
-3.87,-0.9568856907564973
-3.86,-0.9568393039440932
-3.85,-0.9567923545564948
-3.84,-0.9567448353700201
-3.83,-0.956696739059387
-3.8200000000000003,-0.956648058196097
-3.81,-0.9565987852467893
